iter	Passed	Remaining
0	138	138206
1	139	69400
2	139	46419
3	140	34955
4	140	28045
5	141	23438
6	141	20138
7	142	17662
8	143	15749
9	144	14307
10	145	13046
11	145	11988
12	146	11089
13	146	10318
14	146	9648
15	147	9064
16	147	8547
17	148	8087
18	148	7675
19	149	7307
20	149	6973
21	150	6671
22	150	6396
23	151	6141
24	151	5908
25	152	5697
26	152	5504
27	153	5321
28	153	5151
29	154	4992
30	155	4845
31	155	4705
32	156	4574
33	156	4449
34	157	4332
35	157	4221
36	158	4115
37	158	4016
38	159	3920
39	159	3830
40	160	3746
41	160	3670
42	161	3591
43	161	3517
44	162	3446
45	162	3379
46	163	3315
47	164	3254
48	164	3195
49	165	3139
50	167	3113
51	168	3067
52	168	3018
53	169	2971
54	170	2925
55	170	2880
56	171	2836
57	171	2793
58	172	2751
59	173	2714
60	174	2681
61	174	2643
62	175	2609
63	176	2575
64	176	2542
65	178	2529
66	181	2529
67	182	2501
68	183	2471
69	183	2442
70	184	2413
71	185	2386
72	185	2358
73	186	2332
74	187	2307
75	187	2280
76	188	2255
77	188	2230
78	189	2208
79	192	2208
80	192	2188
81	193	2166
82	193	2142
83	194	2121
84	195	2101
85	195	2080
86	196	2060
87	196	2040
88	197	2021
89	198	2002
90	198	1984
91	199	1967
92	199	1949
93	200	1931
94	200	1914
95	202	1904
96	202	1889
97	203	1875
98	204	1861
99	205	1851
100	206	1837
101	207	1823
102	207	1809
103	208	1797
104	209	1784
105	210	1772
106	210	1758
107	211	1745
108	211	1732
109	212	1720
110	213	1710
111	214	1698
112	214	1686
113	215	1674
114	215	1662
115	216	1650
116	217	1637
117	217	1626
118	218	1614
119	218	1603
120	219	1592
121	219	1580
122	220	1570
123	220	1559
124	221	1549
125	221	1539
126	222	1529
127	223	1523
128	224	1513
129	224	1504
130	225	1497
131	226	1488
132	227	1480
133	227	1472
134	229	1467
135	230	1461
136	230	1452
137	231	1444
138	231	1436
139	232	1429
140	233	1420
141	233	1410
142	234	1402
143	234	1394
144	235	1386
145	235	1378
146	236	1372
147	236	1364
148	237	1357
149	238	1349
150	238	1342
151	239	1335
